* daemon not running; starting now at tcp:5038
* daemon started successfully
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
error: no devices found
